Brand,Model,Company,Price in India,id,1 stars,2 stars,4 stars,3 stars,5 stars,link,total_ratings,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Base Clock Speed,Graphics Processor.1,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),Dedicated Graphics.1,HDMI Port,Ethernet,Battery_Life,Dedicated Graphic Memory Type,Expandable RAM up to (GB),other_info,reviewDescription
Asus,G551VW-FI242T,asus,98500.0,11,0,0,17,17,67,https://gadgets.ndtv.com/asus-g551vw-fi242t-5141,12,16GB,15.60-inch,No,Black,Windows 10 Home,1TB,G551VW-FI242T,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 960M,Yes,,3840x2160 pixels,802.11 ac,2.7,382.00 x 255.00 x 16.00,4.0,3.0,G Series,Yes,No,2.6 GHz,Nvidia GeForce GTX 960M,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",,6,Touchpad,3 x USB 3.0,6MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,6,GDDR5,16GB,{'Web Camera': '0.3-megapixel'},Very good build quality and fine finish... Drawer is quite small as it can't keep single pen.... Height adjustment is awesome feature of this table... I love it...
HP,Pavilion 15-au620tx,hp,56950.0,12,75,0,0,0,25,https://gadgets.ndtv.com/hp-pavilion-15-au620tx-5388,4,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au620tx,Intel Core i5 7th Gen 7200U,Nvidia GeForce,Yes,,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.0,1.0,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce,"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",,2,Touchpad,1 x USB 2.0,3MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,16GB,{'Battery Capacity (mAh)': '6000'},It is worth buying. Just that size appearing in the image is a bit larger as compare to the one delivered.Else it looks really cute and worth spending.
HP,Pavilion 15-au628tx,hp,80250.0,13,44,11,0,0,44,https://gadgets.ndtv.com/hp-pavilion-15-au628tx-5391,9,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au628tx,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.2,1.0,Pavilion,Yes,No,2.7 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",,2,Touchpad,1 x USB 2.0,4MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100/1000 Base T,9,DDR3,16GB,{'Web Camera': '0.3-megapixel'},Such a Good product with such great price. Awesome table. Recommended
HP,15-ay006tx,hp,35799.0,14,0,0,33,0,67,https://gadgets.ndtv.com/hp-15-ay006tx-5093,3,4GB,15.60-inch,No,Silver,DOS,500GB,15-ay006tx,Intel Core i3 5th Gen 5005U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,4.0,3.0,,Yes,No,2 GHz,AMD Radeon R5 M430,"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,6,DDR3,8GB,{'Web Camera': '0.3-megapixel'},Good quality wood.Finishing is good.Iam full satisfied with product.Packing is also good and delivery is fast
Xiaomi,Mi 10i,xiaomi,49757.0,15,0,0,0,0,0,https://gadgets.ndtv.com/xiaomi-mi-10i-price-in-india-98985,,6GB,,,,Android 10,,,1.8GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,165.38 x 76.80 x 9.00,,,,,,,,,,,,,,,,,,,,,6,,,"{'Web Camera': '2-megapixel', 'VGA Port': 'No'}","The product does not conform to the dimensions given in the product description. The product is much smaller than the dimensions given. Apart from the dimensions the product does not even incline to the angle shown in the pictures, there are 4 slots as compared to 5 as promised. Did not expect this from Flipkart. Apart from that the product is not even stable ."
Lenovo,G50 45,lenovo,17990.0,16,18,8,22,13,39,https://gadgets.ndtv.com/lenovo-g50-45-4930,277,8GB,15.60-inch,No,Silver,Windows 8.1,1TB,G50 45,AMD APU Quad Core A8 6th Gen A8 6410,AMD R5 M230,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.5,384.00 x 265.00 x 25.00,4.0,3.0,G Series,Yes,No,2 GHz,AMD R5 M230,"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,Yes,2 in 1 Card Reader,Yes,Yes,Yes,10/100/1000 Base T,4,DDR3,16GB,{'Web Camera': '2-megapixel'},"Dimensions are not as mentioned in the pictures. Table is much smaller.Expected length = 21.7""  Actual length = 19.5""Expected width = 13.8""  Actual width = 11.5""Expected height = 11.4""  Actual height = 9.5"""
Samsung,Galaxy S21+,samsung,49757.0,17,0,0,0,0,0,https://gadgets.ndtv.com/samsung-galaxy-s21-plus-price-in-india-98938,,8GB,,,,Android 11,,,2.4GHz octa-core (3x2.8GHz + 4x2.4GHz + 1x2.9GHz),,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,161.40 x 75.60 x 7.80,,,,,,,,,,,,,,,,,,,,,6,,,{'Web Camera': '0.3-megapixel'},Don't buy... very small and quality is also very poor. I was trying to return this product and get refund but there is no option for refund.... if you require such table it's better to go for local carpenter
HP,Pavilion 15-ba021ax,hp,32490.0,18,24,6,22,11,37,https://gadgets.ndtv.com/hp-pavilion-15-ba021ax-5376,79,4GB,15.60-inch,No,Silver,DOS,1TB,15-ba021ax,AMD APU Quad Core A10 7th Gen A10 9600P,Intel Integrated Graphics / Nvidia GeForce 940MX,No,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,4.1,3.0,Pavilion,Yes,No,2.4 GHz,Intel Integrated Graphics / Nvidia GeForce 940MX,"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,Multi format card reader,Yes,No,Standard,,4,,16GB,{'Web Camera': '0.3-megapixel'},awsum product ..
HP,Pavilion 15-au009tx,hp,72249.0,19,16,0,21,0,63,https://gadgets.ndtv.com/hp-pavilion-15-au009tx-5228,19,8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au009tx,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2.0,383.00 x 243.00 x 22.50,4.2,3.0,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",4MB,Yes,Yes,Multi format card reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,8GB,"{'Web Camera': '0.3-megapixel', 'VGA Port': 'No'}","Unsatisfied  Table is so small in size ,highly recommend for children's. Also table is not properly maintained lie some of part are not fixed properly .so , think before u invest."
MSI,PS63 Modern 8RC,msi,102000.0,20,0,0,0,33,67,https://gadgets.ndtv.com/msi-ps63-modern-8rc-12957,3,16GB,15.60-inch,512GB,Carbon Gray,Windows 10,,PS63 Modern 8RC,Intel Core i7 8th Gen i7-8565U,Nvidia GeForce GTX 1050,Yes,Yes,1920x1080 pixels,802.11 a/b/g/n/ac,1.6,233.70 x 356.80 x 15.90,5.0,4.0,Prestige,Yes,No,1.8 GHz,Nvidia GeForce GTX 1050,"MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches)",,4,Trackpad,"2 x USB 3.1 Gen 1 (Type A), 1 x USB 3.1 Gen 1 (Type C), 1 x USB 3.1 Gen 2 (Type A)",,No,2 Speakers,1 Micro SD Card Reader,No,Yes,Standard,,16,GDDR5,,,Good looking... Thanks Flipkart....
Acer,TravelMate P2 TMP259-G2-MG,acer,42900.0,21,15,5,23,8,49,https://gadgets.ndtv.com/acer-travelmate-p2-tmp259-g2-mg-5312,122,8GB,15.60-inch,No,Black,Windows 10 Professional,1TB,TMP259-G2-MG,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.2,381.60 x 259.00 x 30.20,4.2,3.0,TravelMate P2,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,,2 Speakers,SD Card Reader,Yes,Yes,Yes,Gigabit Ethernet,8,GDDR5,32GB,{'Web Camera': '0.3-megapixel'},very good
HP,Pavilion 15-ab522tx,hp,59190.0,22,11,2,22,6,60,https://gadgets.ndtv.com/hp-pavilion-15-ab522tx-5223,65,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-ab522tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,Yes,No,1366x768 pixels,802.11 b/g/n,2.09,384.50 x 2611.00 x 25.20,4.0,3.0,Pavilion,Yes,No,2.3 GHz,Nvidia GeForce 940M,"HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100/1000 Base T,4,DDR3L,8GB,,better
HP,Pavilion 15-ac179tx,hp,43690.0,23,36,9,18,0,36,https://gadgets.ndtv.com/hp-pavilion-15-ac179tx-5232,11,4GB,15.60-inch,No,Turbo Silver,DOS,1TB,15-ac179tx,Intel Core i5 6th Gen I5 6200U,Nvidia GeForce 820M,Yes,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,4.0,3.0,Pavilion,Yes,No,2.2 GHz,Nvidia GeForce 820M,"HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,,5,DDR3,8GB,{'Web Camera': '0.3-megapixel'},Nothing is better than this SE
Asus,R558UQ-DM540D,asus,40999.0,24,12,6,15,9,58,https://gadgets.ndtv.com/asus-r558uq-dm540d-5336,33,4GB,15.60-inch,No,Gold,DOS,1TB,R558UQ-DM540D,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1080x1920 pixels,802.11 ac,2.1,256.00 x 382.00 x 26.00,4.0,3.0,R Series,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,Yes,SD Card Reader,Yes,Yes,Standard,10/100/1000 Base T,4,GDDR3,12GB,,Nice
Asus,R558UQ-DM701D,asus,51990.0,25,28,3,11,8,50,https://gadgets.ndtv.com/asus-r558uq-dm701d-5338,36,8GB,15.60-inch,No,Black,DOS,1TB,R558UQ-DM701D,Intel Core i7 7th Gen 7500U,Intel Integrated HD Graphics 5500,No,No,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.50,4.0,2.0,R Series,Yes,No,2.7 GHz,Intel Integrated HD Graphics 5500,"Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0",4MB,Yes,2 Speakers,Multi format card reader,Yes,No,Standard,Gigabit Ethernet,4,,12GB,{'Web Camera': '0.3-megapixel'},"Last year I used Google pixel 2 . Iphone se camera cannot beat pixels image quality.i expect more from this and it disappointed me.now I realized actually I was downgrade from my last year phone Average battery,camera,display .if you want sharp photos go for Google pixel 4a"
Asus,R558UF-DM175D,asus,44390.0,26,0,0,36,14,50,https://gadgets.ndtv.com/asus-r558uf-dm175d-5146,14,4GB,15.60-inch,No,Gold,Windows 10 Home,2TB,R558UF-DM175D,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,Yes,,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 258.00 x 25.50,4.0,2.0,R Series,Yes,No,2.8 GHz,Nvidia GeForce 930M,"Asus R558UF-DM175D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0",3MB,,Yes,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,4,DDR3,12GB,"{'Web Camera': '0.3-megapixel', 'VGA Port': 'No', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '37', 'Burst Clock Speed': '2400 GHz', 'Backlit Keyboard': 'No', 'RJ11': 'No', 'Launched': 'January 2019', 'Model Name': 'iBall CompBook Netizen', 'Material': 'PC, ABS Plastic', 'eMMC': '64GB'}","Worth buying for the that price.. really good..,!!"
HP,14-ac153tx,hp,35999.0,27,10,10,15,18,46,https://gadgets.ndtv.com/hp-14-ac153tx-5068,39,4GB,14.00-inch,No,Turbo Silver,Windows 10 Home,1TB,14-ac153tx,Intel Core i3 5th Gen 6100U,AMD Radeon R5 M330,Yes,,1366x768 pixels,802.11 b/g/n,1.94,345.40 x 241.50 x 23.90,4.0,3.0,,Yes,No,2 GHz,AMD Radeon R5 M330,"HP 14-AC153TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 14 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,4,DDR3,8GB,,"Great product, value for money in this price range."
HP,15-an003tx,hp,63899.0,28,22,11,11,0,56,https://gadgets.ndtv.com/hp-15-an003tx-5241,9,8GB,15.60-inch,No,Black,Windows 10 Home,1TB,15-an003tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n/ac,2.09,384.50 x 261.10 x 25.20,4.0,3.0,,Yes,No,2.3 GHz,Nvidia GeForce 940M,"HP Star Wars 15-AN003TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,4,DDR3L,16GB,{'Web Camera': '0.3-megapixel'},Good product in good condition received writing a review after 3 months but having heating problem
HP,15-ay507tx,hp,47500.0,29,31,0,23,8,38,https://gadgets.ndtv.com/hp-15-ay507tx-5255,13,8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-ay507tx,Intel Core i5 6th Gen 6200U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,4.0,3.0,,Yes,No,2.3 GHz,AMD Radeon R5 M430,"HP 15-AY507TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,16GB,{'Web Camera': '0.3-megapixel'},Good👍
HP,Pavilion 15-AB027TX,hp,44999.0,30,25,4,4,13,54,https://gadgets.ndtv.com/hp-pavilion-15-ab027tx-5053,24,4GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-AB027TX,Intel Core i3 5th Gen 5010U,AMD Radeon R7 M360,Yes,No,1920x1080 pixels,802.11 b/g/n,2.29,384.56 x 261.11 x 25.15,4.0,3.0,Pavilion,Yes,No,2.1 GHz,AMD Radeon R7 M360,"HP Pavilion 15-AB027TX Laptop (Windows 8.1, 4GB RAM, 1000GB HDD, Intel Core i3, Natural Silver, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,Yes,Multi format card reader,Yes,Yes,Standard,10/100 Base T,6,DDR3,16GB,,must buy a good product and a good feelnice to use the mobile
HP,Pavilion 15-ab032tx,hp,53800.0,31,5,3,24,3,66,https://gadgets.ndtv.com/hp-pavilion-15-ab032tx-5063,38,8GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-ab032tx,Intel Core i5 5th Gen 5200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n,2.29,384.50 x 261.10 x 25.20,4.0,3.0,Pavilion,Yes,No,2.2 GHz,Nvidia GeForce 940M,"HP 15-AB032TX Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 T,6,DDR3L,16GB,{'Battery Capacity (mAh)': '6000'},Nice phone..worth the money.great 📷 camera. Absolutely 🤗 love it.
HP,Pavilion 15-au084tx,hp,58174.0,32,35,8,12,15,31,https://gadgets.ndtv.com/hp-pavilion-15-au084tx-5230,26,4GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au084tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2.0,383.00 x 243.00 x 22.50,4.2,3.0,Pavilion,Yes,No,2.3 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU084TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",,2,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,6,DDR3,16GB,{'Web Camera': '2-megapixel'},Best in the price segment. Only problem is that they are not that comfortable.
Asus,R558UF-DM176D,asus,40900.0,33,17,0,17,17,50,https://gadgets.ndtv.com/asus-r558uf-dm176d-5164,6,4GB,15.60-inch,No,Red,Windows 10 Home,1TB,R558UF-DM176D,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,Yes,,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 258.00 x 25.50,4.0,3.0,X Series,Yes,No,2.3 GHz,Nvidia GeForce 930M,"Asus R558UF-DM176D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Red, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,Integrated 10/100,6,DDR3,12GB,{'Web Camera': '2-megapixel'},Very good
